,STOXX Europe 600,STOXX Europe Banks,STOXX Europe Financials,STOXX Europe Auto & Parts,STOXX Europe Insurance,STOXX Europe Technology,STOXX Europe Utilities,STOXX Europe Chemicals,STOXX Europe Basic Resource,STOXX Europe Con & Mat,STOXX Europe Health Care,STOXX Europe Inds Gds & Svs,STOXX Europe Media,STOXX Europe Telecoms
1987-01-01,82.76,103.62,108.12,166.13,110.29,112.06,66.19,94.91,72.03,83.28,42.9,80.86,71.48,67.89
1987-02-01,83.03,102.08,105.84,148.67,105.48,106.04,66.08,94.13,72.67,90.01,47.49,82.46,77.74,68.03
1987-03-01,86.22,98.86,104.25,144.4,105.3,108.33,67.77,98.81,75.4,96.46,54.2,90.17,83.26,72.75
1987-04-01,88.66,99.99,106.46,151.33,108.12,115.18,67.9,102.82,80.26,97.76,53.05,90.53,85.47,72.04
1987-05-01,91.14,99.01,106.76,154.33,108.5,118.75,68.42,102.98,85.58,102.03,54.31,93.53,86.86,80.77
1987-06-01,92.9,97.14,104.42,151.78,104.37,117.2,70.03,106.71,88.27,105.27,56.8,96.09,89.34,83.72
1987-07-01,94.65,99.3,107.98,157.58,109.05,115.96,70.29,110.61,90.02,107.16,56.99,96.19,97.52,78.25
1987-08-01,99.43,105.37,112.71,166.29,112.54,119.82,74.23,120.79,107.92,114.74,60.37,98.2,100.95,81.17
1987-09-01,98.84,108.25,113.28,161.35,110.61,117.03,77.18,123.77,104.25,112.44,60.32,98.2,102.63,79.99
1987-10-01,100.6,109.81,115.38,158.75,113.5,116.45,74.28,126.54,108.05,118.34,62.99,101.73,109.08,80.56
1987-11-01,75.69,85.69,89.22,118.5,87.38,83.81,65.25,92.92,74.54,88.06,43.79,75.14,72.55,65.64
1987-12-01,68.96,78.21,82.25,100.25,80.97,71.35,59.62,84.9,69.5,78.92,40.33,68.53,65.69,60.62
1988-01-01,71.1,79.57,84.21,95.75,83.22,69.55,60.59,86.72,71.69,86.55,39.75,71.15,73.23,62.66
1988-02-01,71.79,79.85,84.14,91.38,83.18,65.44,62.65,83.1,71.17,87.5,41.97,72.97,76.41,66.07
1988-03-01,76.08,84.59,90.89,107.36,89.96,74.06,65.12,89.36,75.62,91.32,43.72,77.43,77.96,68.45
1988-04-01,76.06,82.51,89.59,103.33,89.48,74.39,65.76,87.18,78.54,93.2,42.8,77.33,77.96,69.68
1988-05-01,78.5,82.86,90.26,103.74,91.47,76.1,66.67,89.6,83.07,97.03,43.8,80.69,79.79,71.54
1988-06-01,79.39,86.62,91.57,103.76,88.77,78.59,64.77,92.26,88.03,97.39,45.18,81.61,82.21,70.49
1988-07-01,82.32,89.41,95.11,110.62,93.74,84.73,68.25,95.88,91.97,99.97,47.21,84.94,84.1,75.5
1988-08-01,84.42,90.95,97.07,113.01,96.41,85.38,68.94,98.05,94.68,103.67,48.06,87.64,87.79,76.34
1988-09-01,79.62,87.17,92.5,105.36,91.7,82.79,67.48,94.0,90.86,97.55,45.22,82.82,79.9,69.97
1988-10-01,84.03,91.88,98.47,112.0,98.84,87.77,69.25,98.28,99.72,103.85,48.7,87.92,84.02,74.77
1988-11-01,87.42,96.08,102.09,121.61,101.12,91.93,69.69,101.49,102.66,109.66,50.29,92.49,86.85,77.48
1988-12-01,85.03,94.72,100.51,117.84,98.76,87.32,67.98,97.61,102.63,104.52,47.68,91.7,82.94,76.88
1989-01-01,87.04,96.28,102.49,120.43,101.86,92.51,68.57,101.24,104.13,107.41,47.79,94.83,84.75,78.04
1989-02-01,94.12,99.51,106.04,117.27,104.7,96.03,74.32,106.63,116.5,118.12,54.4,105.95,95.93,87.26
1989-03-01,92.12,96.77,102.57,118.53,100.51,94.55,70.9,104.79,118.09,116.97,54.04,107.57,95.96,83.61
1989-04-01,95.31,99.81,105.11,121.87,102.34,99.53,73.34,108.11,121.73,124.33,56.49,111.21,98.07,87.86
1989-05-01,97.04,100.29,105.69,121.34,103.2,99.88,76.06,109.39,123.1,128.52,58.39,114.05,98.95,87.37
1989-06-01,97.87,99.28,104.27,125.23,99.75,104.88,78.69,112.73,122.19,131.17,57.94,115.51,100.38,89.48
1989-07-01,99.82,102.02,107.2,133.94,104.17,106.14,82.82,109.89,123.88,130.0,59.51,119.1,98.99,86.19
1989-08-01,105.49,110.72,116.57,142.28,114.21,110.66,84.32,110.0,127.41,133.93,64.19,122.91,106.78,88.04
1989-09-01,109.6,113.05,120.61,149.72,120.32,113.52,86.99,113.87,135.31,137.57,71.15,126.9,111.5,94.47
1989-10-01,107.17,111.33,119.36,142.37,119.18,115.47,88.49,110.34,132.67,138.16,66.12,121.66,108.98,91.99
1989-11-01,99.63,106.02,112.74,131.79,112.23,107.86,83.24,101.61,122.83,122.31,62.49,111.86,101.93,83.21
1989-12-01,103.75,111.32,118.15,133.69,117.88,116.8,90.96,103.42,127.66,125.15,65.17,116.15,106.3,86.51
1990-01-01,108.16,116.71,123.56,145.8,123.58,122.92,95.73,109.51,133.36,132.33,66.24,119.72,108.93,91.67
1990-02-01,106.77,115.03,121.12,144.25,120.13,123.01,94.05,108.64,130.52,130.22,63.13,120.46,107.69,90.87
1990-03-01,102.67,111.04,114.6,139.96,110.16,117.16,91.82,105.43,128.9,124.88,61.1,115.86,104.93,90.02
1990-04-01,104.28,109.6,115.25,149.01,113.58,123.36,94.38,107.83,136.17,130.1,62.67,119.38,106.81,85.05
1990-05-01,102.04,107.57,113.85,141.77,111.77,121.91,92.97,104.9,131.17,130.24,61.56,116.21,104.27,80.25
1990-06-01,109.68,115.14,121.96,143.42,121.11,126.22,98.58,111.01,136.38,139.75,67.26,124.54,115.7,92.78
1990-07-01,110.87,117.76,123.96,142.46,124.13,127.93,100.74,107.65,137.88,144.26,68.66,124.42,117.46,96.95
1990-08-01,109.89,118.69,123.53,133.13,123.7,124.42,99.48,105.77,133.82,143.13,67.6,122.04,109.95,94.14
1990-09-01,97.3,105.69,108.45,108.51,108.03,106.65,91.15,92.04,114.19,117.93,60.53,105.03,93.65,87.68
1990-10-01,88.51,93.1,96.45,95.92,97.27,93.96,84.67,82.91,99.3,104.18,58.25,93.33,85.85,79.31
1990-11-01,89.19,92.97,97.4,91.9,98.67,99.4,88.82,80.93,98.66,109.03,59.47,91.85,85.05,77.01
1990-12-01,91.25,96.04,99.32,91.22,100.46,100.57,93.41,84.58,100.25,112.0,62.17,93.63,84.73,82.24
1991-01-01,88.91,92.96,95.59,86.52,95.89,96.71,90.18,83.39,99.21,106.4,62.54,91.63,84.24,81.35
1991-02-01,89.89,95.56,98.63,83.22,100.65,99.76,93.68,86.67,99.59,108.44,63.95,93.08,83.6,85.32
1991-03-01,99.7,106.58,109.31,94.69,110.24,106.62,98.84,94.76,113.58,125.81,69.87,105.55,93.59,94.26
1991-04-01,104.58,110.11,112.75,99.98,112.7,109.71,102.06,99.76,121.74,129.25,77.64,109.75,100.41,100.96
1991-05-01,104.9,109.62,112.15,101.9,112.3,107.65,101.22,102.39,121.46,126.39,77.71,108.35,97.52,102.98
1991-06-01,107.63,113.18,115.08,110.6,116.17,112.42,104.95,107.99,121.99,127.41,83.11,109.87,97.58,107.77
1991-07-01,103.25,106.72,108.42,109.06,108.81,108.48,98.67,101.64,120.69,120.69,83.49,106.0,91.78,99.58
1991-08-01,105.75,109.5,109.72,105.94,108.29,110.53,101.3,104.24,122.65,121.14,85.98,108.64,95.88,103.84
1991-09-01,108.06,111.09,110.08,110.33,106.28,112.09,103.94,107.28,125.21,124.32,90.15,112.13,102.34,106.53
1991-10-01,106.36,107.75,107.23,104.2,103.37,108.77,105.33,105.83,122.22,118.4,88.53,111.28,102.74,110.47
1991-11-01,103.46,103.56,102.87,99.94,99.04,106.54,101.71,101.79,114.77,111.23,94.08,105.76,102.68,105.22
1991-12-01,98.43,98.15,98.83,97.85,98.21,98.71,98.02,97.82,103.91,99.98,92.19,99.09,96.72,100.72
1992-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1992-02-01,105.81,106.21,106.8,108.23,107.89,106.37,103.23,106.98,109.46,109.87,103.51,108.0,107.6,101.29
1992-03-01,106.82,107.42,107.33,110.24,108.27,110.23,106.57,108.98,110.85,112.67,100.04,109.34,114.78,102.4
1992-04-01,102.68,100.39,100.65,110.02,101.76,108.77,100.4,108.1,107.92,110.11,98.06,106.81,108.27,93.7
1992-05-01,109.34,104.57,104.83,116.46,105.62,114.9,108.62,112.64,117.5,118.63,97.4,115.23,120.17,100.48
1992-06-01,111.12,105.08,105.7,121.43,107.75,117.27,111.17,113.99,117.75,117.69,101.78,119.35,119.48,104.3
1992-07-01,102.75,97.3,97.94,112.42,100.86,106.86,105.9,107.58,109.07,103.97,92.11,111.33,111.2,94.02
1992-08-01,97.23,91.89,90.79,105.05,91.58,99.76,100.5,102.28,101.36,94.18,94.37,102.53,106.71,92.75
1992-09-01,91.99,87.91,85.35,94.24,85.01,94.29,99.54,98.72,92.9,84.03,92.17,96.79,104.01,90.56
1992-10-01,93.51,91.94,89.61,88.31,89.58,92.89,93.85,98.89,91.68,82.85,96.03,97.44,106.75,85.79
1992-11-01,95.35,95.78,95.0,89.03,97.68,91.98,95.77,99.06,86.83,84.72,97.86,95.55,104.75,90.95
1992-12-01,98.81,98.91,97.71,89.44,100.5,97.12,100.46,100.3,93.71,87.38,100.02,100.33,111.01,100.0
1993-01-01,101.55,101.64,100.59,89.0,102.95,99.87,104.34,103.32,97.08,91.36,101.21,104.1,116.38,101.66
1993-02-01,102.41,106.62,106.06,95.89,109.75,101.09,105.57,104.2,98.63,94.38,94.3,105.94,118.15,104.08
1993-03-01,107.3,113.08,113.49,101.92,118.64,109.84,111.49,108.91,103.07,102.04,92.13,110.95,124.19,107.73
1993-04-01,108.28,112.56,113.06,99.62,115.61,111.57,115.49,109.69,103.38,103.29,89.02,112.32,126.51,109.13
1993-05-01,108.02,112.85,114.51,100.39,118.03,111.84,112.18,109.26,104.01,105.51,92.78,112.38,125.05,108.04
1993-06-01,108.95,113.73,115.62,97.35,118.52,112.38,112.47,108.46,105.17,107.03,99.0,112.28,125.59,115.46
1993-07-01,113.87,119.35,120.75,105.91,123.95,118.21,117.0,113.41,109.93,108.93,97.49,117.58,132.54,124.9
1993-08-01,121.21,127.12,129.41,116.88,132.75,127.81,122.82,122.75,123.25,119.37,100.51,128.4,137.38,132.03
1993-09-01,124.9,131.82,134.15,123.12,137.0,133.97,128.78,123.94,125.41,121.04,105.95,128.81,144.53,138.02
1993-10-01,122.65,131.15,132.83,118.11,135.61,134.39,127.82,122.43,120.07,118.54,106.92,125.93,142.19,136.84
1993-11-01,129.06,138.44,140.44,117.78,143.44,142.64,136.96,126.93,128.02,122.13,114.15,132.13,151.24,147.14
1993-12-01,129.65,138.64,140.33,118.08,141.6,138.37,138.21,128.43,131.66,125.28,116.57,133.37,155.97,142.02
1994-01-01,138.48,146.85,147.35,135.33,146.2,148.75,147.92,138.0,140.09,137.43,125.63,145.74,165.46,152.1
1994-02-01,143.87,148.06,149.55,143.26,146.78,151.57,157.31,142.4,152.39,150.71,128.77,154.56,178.16,159.43
1994-03-01,135.49,136.64,137.14,139.48,132.97,143.73,147.17,137.55,149.52,143.78,123.19,147.34,170.22,145.61
1994-04-01,131.37,129.28,131.52,149.46,131.12,144.43,142.02,142.59,143.88,137.6,118.69,143.09,161.28,145.08
1994-05-01,134.92,128.76,132.66,164.88,134.48,153.88,137.22,150.63,151.49,139.83,115.92,149.03,165.92,144.44
1994-06-01,127.04,121.53,125.38,151.02,126.58,141.87,130.95,141.1,143.83,128.98,113.12,137.39,154.25,135.05
1994-07-01,122.71,118.37,120.64,142.23,121.29,137.95,126.49,135.47,141.44,124.24,111.62,131.66,144.66,130.48
1994-08-01,128.99,123.28,125.82,157.62,126.81,149.55,132.49,144.13,150.57,132.79,108.68,139.67,154.77,137.1
1994-09-01,131.04,122.77,125.12,154.84,126.05,148.22,135.31,146.94,156.72,134.66,117.47,138.7,159.39,141.39
1994-10-01,122.79,117.47,118.49,142.46,119.7,137.18,125.22,136.29,151.14,124.9,111.35,129.29,150.54,131.42
1994-11-01,125.46,121.78,121.63,143.31,121.85,141.98,130.08,138.7,148.77,125.35,113.39,131.09,154.72,135.73
1994-12-01,125.2,123.9,123.39,139.66,123.68,138.65,132.0,134.82,145.29,124.73,115.61,132.36,156.18,131.35
1995-01-01,124.84,120.93,121.64,138.77,122.83,140.95,129.47,136.9,147.33,121.59,119.81,131.13,153.21,129.34
1995-02-01,123.32,118.19,118.33,136.61,118.68,141.52,124.44,137.5,146.98,116.79,122.58,129.65,146.45,133.2
1995-03-01,122.72,118.92,119.04,137.54,120.73,141.09,122.64,136.66,145.58,113.71,126.6,128.66,144.17,124.51
1995-04-01,121.27,117.11,116.58,126.68,117.45,138.72,119.56,130.61,137.79,112.03,129.16,124.23,144.47,119.73
1995-05-01,125.93,120.44,121.46,132.75,124.89,146.78,127.19,135.92,144.26,115.07,133.13,128.95,149.94,123.49
1995-06-01,130.55,126.19,127.74,137.02,131.19,156.18,132.69,139.56,148.0,119.47,136.86,135.43,156.61,127.09
1995-07-01,128.48,123.73,125.19,129.95,128.85,160.32,128.45,136.2,147.36,114.17,141.34,133.02,157.83,126.45
1995-08-01,132.85,125.87,127.72,137.01,133.01,169.64,134.07,144.34,156.33,118.77,145.03,138.63,160.85,131.23
1995-09-01,134.79,124.96,127.55,141.03,134.35,175.29,136.87,144.12,152.11,119.04,151.44,141.21,169.31,136.49
1995-10-01,135.76,127.9,129.86,143.0,136.36,178.52,134.09,143.08,154.2,114.25,158.08,142.95,168.47,133.26
1995-11-01,134.64,130.2,132.53,133.31,140.07,166.07,130.85,144.33,146.07,109.74,166.09,139.39,169.11,127.28
1995-12-01,138.29,137.83,139.18,134.12,147.6,171.69,135.86,144.93,145.25,112.69,172.44,138.04,176.31,128.07
1996-01-01,141.69,140.54,142.72,136.03,151.59,165.93,141.36,147.58,143.73,113.41,179.76,138.86,174.25,128.32
1996-02-01,147.48,143.99,145.32,149.12,153.32,176.61,143.23,162.95,150.72,121.45,182.21,146.37,187.76,137.96
1996-03-01,148.49,143.41,144.53,151.51,151.5,178.1,144.71,165.98,153.84,122.74,186.94,151.87,195.66,139.43
1996-04-01,149.72,140.35,141.79,150.33,147.5,172.84,143.61,173.57,153.16,121.16,199.41,154.86,207.05,140.39
1996-05-01,153.34,141.41,143.79,155.52,148.24,174.77,152.78,175.19,159.36,124.4,196.75,160.68,214.32,147.61
1996-06-01,152.67,139.08,141.43,153.44,144.82,181.0,147.75,174.98,155.77,124.93,192.49,159.99,217.32,145.57
1996-07-01,153.58,140.65,141.99,152.3,145.32,176.17,147.2,177.66,154.13,125.07,198.98,161.78,218.51,143.67
1996-08-01,147.98,141.75,142.21,144.99,145.27,169.04,141.39,168.08,147.16,117.36,190.18,154.98,201.86,136.58
1996-09-01,151.56,144.75,144.01,145.37,145.27,177.61,141.65,173.9,150.79,120.34,199.51,160.19,214.23,140.61
1996-10-01,158.13,150.83,150.03,151.64,151.98,188.02,145.49,183.39,156.42,124.39,208.4,168.31,221.43,146.03
1996-11-01,158.63,151.8,151.37,152.16,153.44,186.45,149.76,185.1,152.79,123.31,208.28,169.27,226.47,149.37
1996-12-01,168.41,162.54,161.37,165.05,161.76,196.31,164.59,202.6,159.21,125.94,215.28,175.47,229.72,164.96
1997-01-01,171.31,165.53,163.69,167.16,163.26,196.69,171.01,205.72,158.5,126.78,216.48,180.43,232.66,172.57
1997-02-01,182.85,182.08,178.4,183.72,175.55,221.85,177.02,209.21,162.26,135.57,237.55,190.77,237.13,190.51
1997-03-01,189.02,190.79,188.01,192.36,185.25,226.45,180.43,220.32,172.87,140.0,244.22,193.36,247.89,193.81
1997-04-01,187.51,187.69,184.67,195.54,181.61,230.37,174.76,209.51,175.52,139.27,244.37,188.7,237.58,196.98
1997-05-01,197.54,203.41,197.45,204.6,191.57,243.47,187.89,216.36,178.2,142.7,263.89,195.27,245.36,210.69
1997-06-01,204.03,211.75,205.92,208.02,198.95,248.91,189.88,217.43,185.54,143.68,275.6,207.48,246.65,214.07
1997-07-01,217.73,227.6,217.51,223.97,207.1,275.46,203.82,233.35,195.39,151.29,303.03,216.77,239.06,233.53
1997-08-01,233.87,255.79,243.69,235.72,236.68,319.67,208.3,253.67,203.86,155.78,321.24,229.35,253.88,243.76
1997-09-01,220.65,240.28,228.36,221.47,221.46,296.23,205.1,230.79,197.36,151.39,291.59,223.94,237.09,227.85
1997-10-01,236.99,268.84,250.54,238.48,237.95,329.44,213.02,245.46,210.05,159.38,309.88,239.48,248.97,241.3
1997-11-01,221.45,248.51,235.89,208.7,228.08,303.14,200.36,225.17,177.21,147.98,294.27,218.07,239.0,230.41
1997-12-01,228.59,255.82,244.61,214.03,241.2,298.26,218.66,231.5,171.67,149.87,311.03,219.78,253.46,248.82
1998-01-01,235.79,280.79,265.72,211.82,262.91,288.43,225.71,235.48,166.92,150.56,326.77,223.26,251.99,253.54
1998-02-01,252.46,300.3,290.02,225.38,298.34,313.0,242.09,247.3,174.18,153.07,390.14,228.04,246.25,281.99
1998-03-01,269.24,326.45,317.45,253.45,328.09,350.71,245.08,259.88,185.2,164.26,381.74,244.23,271.92,303.91
1998-04-01,290.52,349.07,338.41,291.83,345.15,381.67,264.3,282.05,196.12,184.37,384.6,274.63,279.59,346.02
1998-05-01,288.18,348.65,341.49,291.74,341.2,401.57,264.52,280.01,203.54,183.94,361.17,276.22,266.78,342.95
1998-06-01,293.86,348.46,337.68,315.59,343.05,424.01,268.72,301.14,203.47,197.06,354.61,288.32,277.16,347.9
1998-07-01,301.98,359.85,349.58,325.13,357.13,433.23,283.88,307.29,190.45,191.54,369.51,282.07,280.07,388.69
1998-08-01,296.31,369.83,361.43,303.58,374.14,441.92,281.38,276.75,174.27,177.97,360.13,271.92,274.93,402.36
1998-09-01,255.09,293.18,292.14,253.32,314.26,359.09,261.04,234.4,142.73,152.51,337.04,227.2,242.43,371.37
1998-10-01,224.49,225.23,233.67,203.75,268.65,282.51,258.63,205.23,127.41,134.37,315.95,201.87,240.02,322.01
1998-11-01,256.63,281.71,285.31,233.47,321.57,341.22,276.79,238.84,142.22,157.36,356.48,232.08,254.93,360.69
1998-12-01,260.98,292.11,296.91,244.58,334.38,364.17,277.75,228.98,141.15,152.6,361.94,230.49,252.7,369.41
1999-01-01,279.2,309.61,318.27,256.96,368.86,380.98,298.77,235.73,140.71,162.43,391.26,245.77,274.76,412.52
1999-02-01,292.89,315.13,327.29,279.66,380.34,423.13,310.2,234.58,147.22,164.62,412.1,265.87,324.33,493.52
1999-03-01,286.47,314.28,314.39,255.71,342.44,398.47,292.34,228.89,150.78,170.43,393.06,266.99,330.57,498.05
1999-04-01,297.0,336.82,332.34,257.3,350.73,424.21,284.77,244.29,163.18,172.92,411.42,278.25,332.25,472.22
1999-05-01,313.74,364.22,352.84,285.83,361.33,452.02,275.51,278.0,195.07,191.48,383.03,304.04,338.26,484.46
1999-06-01,301.5,337.85,326.61,259.39,328.68,442.45,271.85,264.07,179.16,188.39,373.91,292.27,329.51,490.51
1999-07-01,319.64,347.84,336.37,277.6,342.77,510.63,285.71,284.45,202.89,197.5,384.82,308.8,334.69,507.62
1999-08-01,301.69,321.76,312.55,252.49,316.93,490.41,266.71,285.1,213.9,199.28,357.14,304.57,325.41,485.59
1999-09-01,310.27,332.09,324.23,257.03,333.08,499.6,276.31,288.33,223.1,206.91,368.48,316.03,323.81,489.26
1999-10-01,301.49,326.75,320.65,243.86,337.4,498.26,264.0,272.83,213.67,197.05,362.49,309.15,302.73,486.02
1999-11-01,317.94,342.89,336.24,255.83,354.27,570.01,269.3,280.91,217.73,193.0,393.39,308.89,320.79,543.21
1999-12-01,345.09,352.66,346.15,236.7,363.07,706.02,276.84,295.16,245.31,202.66,423.86,353.42,390.86,657.4
2000-01-01,377.69,363.55,360.98,258.37,387.24,906.08,280.5,319.72,284.13,221.83,393.72,399.3,484.38,783.08
2000-02-01,366.708,324.66,328.208,239.72,363.2,951.78,281.73,283.59,247.88,202.98,372.98,374.46,561.7,841.38
2000-03-01,391.029,333.18,332.17,235.69,364.21,1143.73,319.28,283.8,210.61,207.14,371.89,408.11,715.82,944.48
2000-04-01,386.995,349.23,360.072,247.72,415.04,998.65,311.2,303.31,225.86,207.24,419.86,384.2,594.22,845.41
2000-05-01,392.623,350.78,361.089,237.33,413.89,1091.32,310.69,300.16,211.76,209.47,434.89,398.23,587.91,810.83
2000-06-01,385.548,362.72,368.001,231.67,415.42,1016.99,315.85,284.14,201.4,210.48,433.5,387.13,522.59,770.86
2000-07-01,381.875,361.41,372.477,222.13,422.77,1012.54,298.27,282.83,204.9,206.04,455.37,374.47,514.79,711.58
2000-08-01,382.917,376.04,387.875,230.35,434.84,1001.76,296.69,290.43,206.09,205.11,463.91,385.7,515.01,673.75
2000-09-01,400.841,396.66,402.988,238.96,434.85,1128.06,302.58,295.67,222.14,210.78,478.25,393.37,555.8,680.67
2000-10-01,379.917,402.87,405.089,230.29,430.65,922.5,304.75,278.38,204.64,194.83,502.51,368.6,477.26,592.65
2000-11-01,387.662,414.32,417.17,246.31,449.85,908.42,311.24,309.67,229.13,205.2,499.37,371.78,493.83,620.61
2000-12-01,366.967,392.6,405.287,221.23,464.96,794.26,308.0,306.93,213.48,201.7,505.62,347.04,427.32,536.83
2001-01-01,359.79,401.04,409.558,218.86,463.58,749.73,303.56,329.52,226.26,208.08,490.43,340.86,427.94,495.15
2001-02-01,358.621,414.98,413.451,236.45,439.17,720.18,290.54,320.24,235.97,218.26,457.88,343.31,441.7,523.27
2001-03-01,331.996,388.91,384.667,247.93,408.28,511.88,285.67,322.49,239.07,219.37,468.37,316.15,396.73,411.62
2001-04-01,320.158,379.42,369.094,231.5,373.34,473.89,285.09,300.16,227.03,208.67,457.86,283.99,369.57,413.12
2001-05-01,342.016,402.47,388.224,250.17,385.9,583.3,287.7,308.7,254.31,220.85,459.11,308.27,418.3,454.7
2001-06-01,341.573,401.603,386.963,247.047,380.224,538.53,300.04,312.425,265.86,224.608,491.81,311.932,396.17,393.97
2001-07-01,333.792,400.791,390.129,248.666,398.414,464.88,301.53,309.386,252.569,216.363,496.71,285.466,369.848,382.32
2001-08-01,317.887,371.174,366.505,246.378,383.254,415.78,302.24,303.277,233.745,210.654,482.3,266.203,354.885,349.59
2001-09-01,294.713,365.295,353.572,215.254,355.793,327.61,294.24,280.458,231.539,206.25,445.36,238.097,313.1,289.88
2001-10-01,259.894,310.814,297.356,163.488,291.26,262.65,272.59,241.715,197.743,184.419,446.32,194.079,247.487,285.05
2001-11-01,279.061,333.73,318.962,184.95,313.385,349.31,276.58,256.759,219.082,187.504,452.26,212.827,281.169,312.4
2001-12-01,287.873,348.21,329.82,208.961,317.876,402.88,265.79,276.989,247.834,199.88,433.37,230.871,301.524,337.13
2002-01-01,298.73,362.75,341.76,218.31,322.33,430.86,271.55,277.71,254.65,207.24,444.09,238.43,310.77,344.81
2002-02-01,293.461,365.305,335.327,221.921,296.488,409.73,274.6,286.545,270.822,206.353,434.89,236.039,282.319,307.86
2002-03-01,292.939,356.785,327.298,231.368,290.617,390.73,271.37,294.239,280.752,211.392,453.12,239.994,280.763,288.93
2002-04-01,303.038,373.28,344.205,247.09,308.069,404.16,273.74,307.448,276.411,220.697,447.84,252.433,300.823,289.14
2002-05-01,290.638,382.328,344.087,236.933,298.084,320.57,275.3,299.638,259.08,220.111,434.47,243.648,268.143,250.82
2002-06-01,276.998,372.064,330.222,239.859,272.622,273.11,264.26,295.478,269.386,215.864,398.97,235.476,254.656,229.56
2002-07-01,254.858,336.782,297.177,220.97,242.442,242.25,250.13,284.586,248.922,199.238,374.88,216.593,215.641,201.11
2002-08-01,218.162,290.528,247.35,202.008,183.654,195.29,210.62,237.408,201.642,164.26,335.82,183.59,173.325,199.03
2002-09-01,222.753,300.834,253.836,200.323,182.441,195.3,226.76,242.476,208.514,168.824,324.05,182.726,172.734,207.18
2002-10-01,197.537,252.298,209.361,170.63,138.437,155.51,206.96,213.636,190.692,145.307,324.82,149.409,157.812,176.22
2002-11-01,210.475,276.898,233.7,174.608,166.116,211.43,207.01,217.325,199.84,141.296,326.04,152.318,168.612,206.81
2002-12-01,222.452,299.792,255.617,181.78,189.245,245.66,207.04,235.575,224.159,161.429,325.78,165.755,191.626,238.69
2003-01-01,201.723,265.426,224.251,154.44,157.181,185.75,197.96,214.187,202.292,143.485,303.36,145.106,166.193,211.05
2003-02-01,192.12,250.816,211.016,155.13,146.191,180.53,198.74,194.119,187.189,140.076,293.62,137.422,159.305,214.51
2003-03-01,182.077,244.31,202.314,146.821,133.116,169.53,183.7,174.908,187.096,133.568,277.19,126.185,141.269,201.59
2003-04-01,178.916,239.399,193.303,130.476,115.741,169.84,181.81,170.995,176.432,130.605,277.66,126.686,136.534,202.33
2003-05-01,194.13,268.486,221.021,150.859,143.91,200.98,195.32,196.092,182.196,147.534,300.8,139.661,152.398,217.08
2003-06-01,200.407,277.377,228.272,146.252,147.692,209.2,200.58,191.542,183.067,146.471,302.27,143.378,163.255,229.93
2003-07-01,198.873,278.589,227.57,158.485,142.239,198.35,199.42,190.411,181.607,148.858,296.45,145.526,159.723,222.06
2003-08-01,208.768,297.115,247.117,167.26,166.608,217.29,198.8,212.663,211.428,162.481,299.01,160.39,171.295,222.54
2003-09-01,217.677,296.376,247.819,187.458,169.031,245.39,204.23,219.776,232.931,170.409,308.57,173.445,179.399,225.26
2003-10-01,209.762,292.256,240.963,169.098,156.436,224.41,196.61,201.895,211.291,160.253,307.97,164.528,167.105,224.9
2003-11-01,224.999,318.108,263.294,182.12,175.346,260.21,201.42,212.68,243.875,170.349,322.71,183.09,186.446,237.36
2003-12-01,226.789,320.846,263.416,181.337,170.795,259.83,207.45,222.287,243.283,177.019,328.81,178.163,190.781,248.54
2004-01-01,229.31,322.851,265.656,190.619,173.562,249.08,218.56,228.312,242.243,179.963,330.85,174.548,185.665,251.04
2004-02-01,236.17,329.421,274.437,190.64,184.452,283.88,222.72,232.475,242.931,187.208,337.43,182.724,206.591,263.44
2004-03-01,245.132,336.071,280.437,189.426,186.994,300.49,239.98,232.946,268.513,194.272,338.18,188.446,214.287,270.28
2004-04-01,239.328,328.437,272.691,183.941,176.955,294.27,239.27,224.079,257.042,190.993,332.65,184.757,205.49,258.91
2004-05-01,240.39,327.807,271.315,198.258,175.719,254.71,238.49,232.92,236.021,195.8,350.17,185.101,204.893,260.61
2004-06-01,235.749,320.624,264.514,191.701,168.795,247.13,238.45,230.605,239.785,189.329,347.48,178.742,198.331,246.86
2004-07-01,240.082,322.506,268.564,200.044,177.707,261.08,244.7,239.869,243.049,195.697,341.35,185.29,205.42,248.6
